diet_type,food_health_preference,taste_preference,preferred_cuisine,allergies,budget_range,location,digestion_preference,user_age,current_weather,meal_time,calorie_preference,suggested_dish
non-vegetarian,low carb,spicy,Indian,soy,high,suburban,heavy,66,cold,breakfast,low,Fish Curry
vegetarian,balanced,spicy,Chinese,nuts,medium,suburban,heavy,39,rainy,dinner,moderate,Mixed Veg Bowl
non-vegetarian,balanced,salty,Chinese,soy,medium,rural,moderate,60,sunny,breakfast,high,Mixed Veg Bowl
non-vegetarian,low carb,sweet,Italian,dairy,high,rural,heavy,23,rainy,dinner,low,Mixed Veg Bowl
vegetarian,low fat,salty,Chinese,soy,medium,urban,heavy,41,hot,dinner,high,Cabbage Stir Fry
vegan,low fat,salty,Indian,gluten,high,rural,heavy,13,cold,lunch,low,Mixed Veg Bowl
vegan,balanced,spicy,Italian,dairy,low,suburban,easy,38,hot,lunch,moderate,Mixed Veg Bowl
vegetarian,low fat,salty,Mexican,soy,medium,suburban,moderate,40,cold,dinner,moderate,Mixed Veg Bowl
non-vegetarian,low carb,spicy,Italian,soy,low,urban,easy,42,sunny,breakfast,moderate,Mixed Veg Bowl
vegan,low fat,spicy,Italian,soy,medium,suburban,moderate,18,cold,dinner,low,Mixed Veg Bowl
vegetarian,low fat,salty,Indian,none,medium,suburban,heavy,18,cold,lunch,low,Mixed Veg Bowl
non-vegetarian,low fat,umami,Indian,gluten,medium,suburban,easy,22,hot,breakfast,moderate,Mixed Veg Bowl
vegetarian,low carb,salty,Italian,gluten,high,suburban,easy,55,cold,lunch,high,Mixed Veg Bowl
vegan,low fat,sweet,Thai,nuts,medium,suburban,moderate,16,cold,lunch,low,Vegan Pad Thai
non-vegetarian,high protein,sweet,Chinese,gluten,high,suburban,easy,54,hot,dinner,low,Mixed Veg Bowl
vegan,balanced,salty,Thai,nuts,medium,suburban,easy,59,rainy,breakfast,moderate,Mixed Veg Bowl
vegetarian,low fat,umami,Chinese,gluten,medium,suburban,heavy,50,sunny,breakfast,high,Paneer Chili Dry
vegetarian,low carb,umami,Mexican,nuts,medium,rural,easy,63,rainy,lunch,moderate,Mixed Veg Bowl
vegan,low fat,savory,Mexican,dairy,medium,suburban,easy,53,cold,dinner,low,Mixed Veg Bowl
vegetarian,high protein,spicy,Mexican,none,high,suburban,moderate,28,sunny,dinner,high,Spicy Bean Enchiladas
non-vegetarian,balanced,umami,Indian,soy,high,urban,easy,15,humid,dinner,high,Mixed Veg Bowl
vegan,high protein,savory,Mexican,nuts,low,suburban,heavy,16,rainy,dinner,moderate,Mixed Veg Bowl
vegetarian,low fat,savory,Italian,soy,high,suburban,heavy,12,rainy,lunch,low,Pasta Alfredo
non-vegetarian,high protein,salty,Thai,soy,low,rural,heavy,41,sunny,dinner,low,Shrimp Satay
vegetarian,high protein,umami,Thai,nuts,high,rural,easy,30,cold,dinner,low,Mixed Veg Bowl
vegetarian,low carb,salty,Mexican,none,low,suburban,easy,26,sunny,breakfast,moderate,Mixed Veg Bowl
vegetarian,balanced,umami,Thai,nuts,medium,rural,easy,44,hot,dinner,low,Mixed Veg Bowl
vegan,high protein,umami,Italian,none,high,urban,moderate,41,humid,lunch,moderate,Roasted Veggie Lasagna
vegetarian,low fat,salty,Chinese,nuts,high,rural,easy,14,humid,dinner,high,Soy Sauce Noodles
vegan,balanced,sweet,Thai,nuts,high,urban,easy,41,cold,breakfast,high,Tofu Mango Curry
non-vegetarian,balanced,salty,Thai,dairy,high,rural,heavy,14,hot,breakfast,low,Shrimp Satay
vegetarian,high protein,salty,Thai,dairy,medium,suburban,heavy,38,cold,dinner,low,Mixed Veg Bowl
non-vegetarian,high protein,spicy,Mexican,none,low,suburban,moderate,37,sunny,dinner,high,Hot Salsa Burrito
vegetarian,high protein,savory,Indian,gluten,high,suburban,easy,67,cold,lunch,high,Mixed Veg Bowl
non-vegetarian,balanced,umami,Thai,soy,medium,rural,moderate,56,sunny,dinner,high,Mixed Veg Bowl
non-vegetarian,balanced,spicy,Thai,gluten,low,rural,heavy,37,rainy,lunch,high,Thai Basil Chicken
vegan,low carb,spicy,Chinese,none,medium,urban,easy,56,cold,lunch,low,Mixed Veg Bowl
non-vegetarian,low fat,umami,Thai,soy,high,suburban,heavy,66,rainy,breakfast,high,Mixed Veg Bowl
vegetarian,low carb,salty,Italian,nuts,high,rural,heavy,53,hot,lunch,low,Mixed Veg Bowl
non-vegetarian,balanced,spicy,Chinese,dairy,low,rural,easy,53,cold,lunch,moderate,Mixed Veg Bowl
vegan,high protein,sweet,Indian,gluten,medium,suburban,moderate,42,sunny,dinner,high,Mixed Veg Bowl
non-vegetarian,low fat,spicy,Mexican,soy,low,urban,moderate,65,sunny,dinner,low,Hot Salsa Burrito
vegetarian,high protein,umami,Indian,nuts,high,urban,easy,25,cold,breakfast,moderate,Mixed Veg Bowl
vegan,balanced,umami,Indian,nuts,low,rural,easy,47,rainy,lunch,low,Mixed Veg Bowl
vegetarian,high protein,savory,Thai,nuts,low,suburban,easy,14,rainy,dinner,moderate,Mixed Veg Bowl
vegetarian,balanced,spicy,Mexican,gluten,low,urban,heavy,18,rainy,lunch,moderate,Spicy Bean Enchiladas
vegetarian,low fat,savory,Thai,gluten,low,urban,easy,61,humid,breakfast,moderate,Mixed Veg Bowl
vegan,low carb,umami,Mexican,nuts,medium,urban,easy,15,sunny,breakfast,low,Mixed Veg Bowl
non-vegetarian,high protein,sweet,Thai,gluten,high,urban,heavy,22,cold,dinner,low,Mixed Veg Bowl
vegetarian,balanced,sweet,Italian,none,high,suburban,moderate,41,rainy,dinner,low,Mixed Veg Bowl
vegan,high protein,savory,Indian,none,medium,rural,heavy,46,sunny,lunch,high,Mixed Veg Bowl
vegetarian,balanced,salty,Italian,dairy,medium,urban,easy,18,hot,breakfast,low,Mixed Veg Bowl
non-vegetarian,low carb,umami,Thai,soy,low,rural,easy,16,sunny,lunch,high,Mixed Veg Bowl
vegan,low fat,sweet,Mexican,dairy,medium,rural,heavy,66,rainy,lunch,high,Vegan Churros
vegetarian,high protein,spicy,Chinese,nuts,low,suburban,moderate,31,humid,lunch,high,Mixed Veg Bowl
vegetarian,low carb,salty,Thai,gluten,high,rural,easy,32,sunny,breakfast,high,Mixed Veg Bowl
non-vegetarian,low fat,spicy,Thai,nuts,medium,urban,heavy,49,rainy,dinner,low,Red Curry Chicken
vegan,low fat,salty,Chinese,nuts,high,urban,moderate,43,sunny,breakfast,moderate,Garlic Bok Choy
non-vegetarian,low fat,spicy,Mexican,gluten,high,rural,easy,35,rainy,dinner,high,Hot Salsa Burrito
vegetarian,low carb,savory,Mexican,none,high,suburban,heavy,17,sunny,breakfast,moderate,Mixed Veg Bowl
vegan,high protein,umami,Chinese,none,medium,urban,easy,19,humid,breakfast,moderate,Mixed Veg Bowl
vegan,low fat,sweet,Italian,none,high,suburban,heavy,26,hot,lunch,moderate,Mixed Veg Bowl
non-vegetarian,balanced,salty,Thai,none,high,suburban,moderate,56,rainy,dinner,high,Salted Fish Fried Rice
vegan,low fat,savory,Mexican,gluten,high,suburban,heavy,62,cold,dinner,moderate,Mixed Veg Bowl
vegetarian,low fat,spicy,Mexican,dairy,high,suburban,moderate,23,rainy,dinner,moderate,Spicy Bean Enchiladas
vegetarian,balanced,umami,Italian,dairy,low,urban,easy,36,cold,lunch,low,Mixed Veg Bowl
non-vegetarian,high protein,savory,Italian,gluten,high,rural,easy,22,sunny,lunch,low,Chicken Lasagna
vegan,balanced,spicy,Italian,dairy,medium,urban,heavy,12,rainy,dinner,moderate,Mixed Veg Bowl
vegetarian,low fat,savory,Thai,soy,low,rural,moderate,50,hot,dinner,moderate,Mixed Veg Bowl
non-vegetarian,low fat,umami,Thai,nuts,low,suburban,moderate,48,cold,breakfast,moderate,Mixed Veg Bowl
non-vegetarian,low fat,savory,Mexican,soy,high,urban,easy,33,sunny,dinner,low,Chicken Quesadilla
vegan,low fat,sweet,Indian,gluten,high,rural,moderate,49,cold,lunch,low,Mixed Veg Bowl
non-vegetarian,low carb,salty,Mexican,none,medium,urban,heavy,57,rainy,breakfast,moderate,Mixed Veg Bowl
vegan,low fat,umami,Italian,soy,medium,suburban,heavy,22,humid,breakfast,moderate,Mushroom Risotto
vegetarian,high protein,spicy,Italian,none,high,suburban,moderate,22,rainy,lunch,moderate,Mixed Veg Bowl
vegetarian,high protein,savory,Italian,nuts,medium,suburban,heavy,19,rainy,breakfast,low,Pasta Alfredo
non-vegetarian,high protein,sweet,Chinese,nuts,high,suburban,heavy,64,hot,breakfast,high,Mixed Veg Bowl
vegetarian,low carb,savory,Mexican,none,low,rural,moderate,54,cold,breakfast,moderate,Mixed Veg Bowl
vegetarian,balanced,umami,Italian,dairy,high,suburban,easy,18,humid,breakfast,high,Mixed Veg Bowl
non-vegetarian,high protein,spicy,Indian,soy,low,urban,heavy,34,sunny,lunch,high,Chicken Biryani
vegan,low fat,savory,Mexican,nuts,high,rural,heavy,41,sunny,dinner,high,Mixed Veg Bowl
non-vegetarian,low carb,umami,Thai,dairy,low,rural,heavy,60,humid,breakfast,low,Mixed Veg Bowl
vegetarian,low carb,savory,Mexican,gluten,medium,suburban,heavy,19,cold,dinner,low,Mixed Veg Bowl
non-vegetarian,low carb,savory,Chinese,none,low,suburban,easy,15,rainy,dinner,low,Mixed Veg Bowl
vegan,high protein,spicy,Mexican,nuts,medium,suburban,heavy,31,humid,lunch,high,Mixed Veg Bowl
vegetarian,low fat,spicy,Chinese,dairy,high,urban,moderate,38,humid,lunch,high,Mixed Veg Bowl
vegetarian,high protein,salty,Thai,dairy,high,urban,easy,19,cold,lunch,low,Mixed Veg Bowl
vegan,low carb,savory,Italian,soy,medium,suburban,moderate,33,cold,lunch,moderate,Vegan Pesto Pasta
vegetarian,low carb,sweet,Mexican,dairy,low,rural,easy,38,rainy,dinner,moderate,Sweet Corn Pudding
vegan,low carb,umami,Thai,none,high,rural,heavy,35,rainy,breakfast,moderate,Mixed Veg Bowl
vegan,balanced,savory,Italian,dairy,medium,rural,easy,65,hot,dinner,high,Vegan Pesto Pasta
non-vegetarian,high protein,spicy,Mexican,soy,high,suburban,easy,15,cold,breakfast,high,Hot Salsa Burrito
non-vegetarian,high protein,umami,Italian,soy,high,suburban,easy,37,sunny,breakfast,moderate,Mixed Veg Bowl
non-vegetarian,high protein,spicy,Indian,soy,medium,rural,easy,64,cold,dinner,moderate,Chicken Biryani
vegan,high protein,umami,Mexican,nuts,high,urban,easy,52,humid,breakfast,high,Mixed Veg Bowl
vegetarian,low fat,salty,Thai,dairy,medium,urban,moderate,54,humid,dinner,high,Mixed Veg Bowl
vegetarian,balanced,umami,Italian,gluten,high,urban,easy,11,sunny,breakfast,high,Mixed Veg Bowl
non-vegetarian,high protein,spicy,Italian,nuts,medium,rural,heavy,28,humid,dinner,high,Mixed Veg Bowl
non-vegetarian,balanced,spicy,Thai,nuts,high,suburban,moderate,22,rainy,lunch,moderate,Thai Basil Chicken
vegan,balanced,umami,Mexican,dairy,high,rural,heavy,31,cold,lunch,low,Mixed Veg Bowl
vegan,high protein,spicy,Thai,none,medium,rural,easy,59,humid,breakfast,low,Mixed Veg Bowl
non-vegetarian,low fat,savory,Italian,dairy,low,suburban,moderate,64,humid,breakfast,low,Spaghetti Bolognese
non-vegetarian,low carb,savory,Thai,gluten,low,suburban,easy,29,humid,dinner,low,Mixed Veg Bowl
vegetarian,low fat,umami,Indian,nuts,high,suburban,heavy,22,rainy,breakfast,moderate,Mixed Veg Bowl
vegetarian,balanced,salty,Mexican,nuts,medium,urban,easy,67,cold,lunch,moderate,Mixed Veg Bowl
non-vegetarian,balanced,umami,Indian,dairy,high,urban,easy,68,cold,dinner,high,Mixed Veg Bowl
non-vegetarian,low carb,spicy,Italian,none,high,suburban,moderate,66,rainy,breakfast,moderate,Mixed Veg Bowl
vegetarian,low fat,salty,Chinese,gluten,medium,urban,heavy,12,hot,breakfast,moderate,Soy Sauce Noodles
vegan,balanced,spicy,Thai,nuts,high,rural,easy,10,sunny,lunch,high,Mixed Veg Bowl
vegan,balanced,savory,Thai,soy,low,urban,heavy,45,humid,lunch,moderate,Mixed Veg Bowl
non-vegetarian,high protein,salty,Thai,dairy,medium,rural,easy,59,cold,breakfast,low,Shrimp Satay
vegetarian,high protein,savory,Indian,nuts,low,suburban,heavy,21,hot,lunch,high,Mixed Veg Bowl
non-vegetarian,low fat,sweet,Thai,none,high,urban,easy,27,cold,lunch,low,Mixed Veg Bowl
non-vegetarian,balanced,umami,Mexican,none,low,rural,moderate,31,humid,dinner,low,Mixed Veg Bowl
vegan,high protein,sweet,Chinese,nuts,medium,rural,easy,47,sunny,breakfast,moderate,Sweet Sesame Tofu
vegetarian,low carb,umami,Chinese,nuts,low,rural,heavy,20,hot,breakfast,low,Paneer Chili Dry
vegetarian,low carb,savory,Italian,gluten,high,urban,easy,51,humid,dinner,moderate,Margherita Pizza
non-vegetarian,high protein,savory,Indian,dairy,medium,suburban,easy,24,humid,dinner,high,Mixed Veg Bowl
non-vegetarian,low carb,umami,Thai,soy,medium,rural,heavy,62,rainy,lunch,high,Mixed Veg Bowl
vegan,low fat,sweet,Mexican,nuts,high,suburban,easy,41,cold,breakfast,high,Sweet Potato Tacos
vegan,balanced,salty,Italian,nuts,high,urban,easy,68,humid,lunch,high,Mixed Veg Bowl
non-vegetarian,low fat,sweet,Mexican,nuts,medium,urban,easy,28,humid,dinner,low,Mixed Veg Bowl
vegan,low carb,umami,Indian,soy,high,urban,moderate,34,hot,lunch,low,Mixed Veg Bowl
vegan,low fat,savory,Chinese,dairy,medium,suburban,heavy,26,rainy,lunch,moderate,Mixed Veg Bowl
vegetarian,low fat,salty,Italian,none,high,urban,easy,34,hot,dinner,moderate,Mixed Veg Bowl
vegetarian,balanced,sweet,Chinese,dairy,medium,rural,easy,53,rainy,lunch,low,Mixed Veg Bowl
vegetarian,low carb,salty,Mexican,none,high,rural,moderate,64,cold,dinner,high,Mixed Veg Bowl
non-vegetarian,high protein,sweet,Chinese,nuts,medium,rural,moderate,61,sunny,breakfast,moderate,Mixed Veg Bowl
non-vegetarian,low fat,salty,Mexican,nuts,medium,urban,easy,68,rainy,breakfast,low,Mixed Veg Bowl
non-vegetarian,balanced,sweet,Indian,soy,medium,rural,heavy,64,rainy,breakfast,moderate,Mixed Veg Bowl
vegetarian,balanced,sweet,Chinese,gluten,high,urban,heavy,15,cold,breakfast,moderate,Mixed Veg Bowl
vegetarian,low fat,spicy,Mexican,nuts,low,suburban,heavy,63,cold,lunch,moderate,Spicy Bean Enchiladas
vegan,low fat,salty,Thai,none,medium,rural,moderate,34,rainy,dinner,moderate,Mixed Veg Bowl
non-vegetarian,low fat,spicy,Chinese,nuts,high,urban,heavy,52,humid,breakfast,moderate,Mixed Veg Bowl
vegetarian,low carb,savory,Indian,none,low,urban,heavy,37,rainy,lunch,high,Mixed Veg Bowl
non-vegetarian,balanced,savory,Italian,nuts,low,suburban,heavy,46,humid,dinner,high,Chicken Lasagna
vegan,balanced,salty,Italian,gluten,low,urban,easy,28,sunny,breakfast,moderate,Mixed Veg Bowl
vegetarian,low fat,salty,Thai,soy,low,rural,moderate,66,hot,breakfast,high,Mixed Veg Bowl
vegan,high protein,salty,Chinese,dairy,low,urban,heavy,50,humid,breakfast,moderate,Stir Fried Tofu with Veggies
vegetarian,low fat,sweet,Mexican,soy,medium,suburban,easy,24,sunny,lunch,low,Choco Tacos
vegan,low carb,savory,Thai,gluten,high,suburban,heavy,30,sunny,dinner,high,Mixed Veg Bowl
non-vegetarian,high protein,savory,Thai,nuts,high,urban,moderate,10,humid,breakfast,moderate,Mixed Veg Bowl
vegan,balanced,salty,Indian,nuts,medium,suburban,moderate,20,cold,breakfast,moderate,Mixed Veg Bowl
vegan,low fat,spicy,Mexican,dairy,high,suburban,heavy,42,sunny,breakfast,high,Mixed Veg Bowl
vegetarian,high protein,spicy,Thai,dairy,low,urban,easy,22,sunny,lunch,high,Spicy Thai Noodles
non-vegetarian,low fat,savory,Thai,nuts,high,suburban,moderate,39,cold,dinner,low,Mixed Veg Bowl
vegan,low fat,savory,Indian,nuts,medium,rural,moderate,20,hot,dinner,moderate,Mixed Veg Bowl
vegan,low fat,salty,Thai,gluten,medium,urban,moderate,10,hot,dinner,low,Mixed Veg Bowl
vegan,high protein,sweet,Chinese,gluten,low,urban,moderate,67,cold,dinner,low,Sweet Sesame Tofu
vegetarian,balanced,spicy,Italian,soy,high,suburban,moderate,16,rainy,lunch,high,Mixed Veg Bowl
non-vegetarian,low fat,sweet,Indian,nuts,low,urban,heavy,25,hot,dinner,high,Mixed Veg Bowl
non-vegetarian,balanced,umami,Indian,soy,high,rural,moderate,29,humid,breakfast,moderate,Mixed Veg Bowl
vegan,balanced,savory,Mexican,none,low,rural,moderate,11,rainy,breakfast,high,Mixed Veg Bowl
vegan,low fat,savory,Mexican,gluten,medium,rural,moderate,51,humid,breakfast,low,Mixed Veg Bowl
non-vegetarian,high protein,sweet,Indian,none,low,rural,heavy,53,hot,lunch,moderate,Mixed Veg Bowl
vegetarian,low fat,salty,Italian,soy,medium,rural,moderate,56,hot,dinner,moderate,Mixed Veg Bowl
non-vegetarian,high protein,salty,Indian,none,high,rural,heavy,38,rainy,dinner,high,Mixed Veg Bowl
vegan,balanced,sweet,Italian,dairy,low,urban,easy,37,cold,breakfast,low,Mixed Veg Bowl
non-vegetarian,high protein,sweet,Italian,none,low,suburban,heavy,41,cold,breakfast,low,Mixed Veg Bowl
vegan,balanced,savory,Thai,soy,low,suburban,easy,14,hot,lunch,low,Mixed Veg Bowl
non-vegetarian,balanced,savory,Chinese,dairy,low,rural,moderate,42,humid,breakfast,moderate,Mixed Veg Bowl
non-vegetarian,balanced,umami,Chinese,gluten,high,rural,easy,41,rainy,dinner,high,Kung Pao Chicken
vegetarian,low carb,umami,Thai,soy,low,suburban,moderate,30,rainy,lunch,high,Mixed Veg Bowl
vegan,high protein,salty,Indian,none,medium,suburban,moderate,41,hot,dinner,low,Mixed Veg Bowl
non-vegetarian,low carb,sweet,Indian,none,high,urban,moderate,39,humid,lunch,high,Mixed Veg Bowl
non-vegetarian,balanced,spicy,Chinese,gluten,medium,rural,heavy,26,humid,dinner,moderate,Mixed Veg Bowl
vegan,balanced,umami,Indian,nuts,low,urban,easy,21,hot,lunch,moderate,Mixed Veg Bowl
non-vegetarian,low carb,salty,Italian,nuts,high,rural,heavy,39,humid,lunch,low,Anchovy Pizza
vegan,low fat,sweet,Thai,dairy,low,suburban,moderate,63,humid,breakfast,high,Tofu Mango Curry
vegan,low carb,spicy,Chinese,nuts,medium,rural,moderate,21,sunny,lunch,high,Mixed Veg Bowl
non-vegetarian,low carb,spicy,Italian,soy,high,rural,heavy,41,cold,lunch,high,Mixed Veg Bowl
vegetarian,low carb,umami,Thai,none,low,suburban,moderate,12,humid,dinner,low,Mixed Veg Bowl
vegetarian,low carb,umami,Chinese,none,low,urban,heavy,57,humid,dinner,low,Paneer Chili Dry
vegetarian,low carb,sweet,Italian,soy,high,urban,moderate,67,sunny,breakfast,low,Mixed Veg Bowl
vegetarian,low carb,savory,Mexican,nuts,medium,suburban,easy,19,cold,lunch,moderate,Mixed Veg Bowl
non-vegetarian,balanced,umami,Chinese,gluten,high,rural,moderate,55,cold,breakfast,high,Sweet and Sour Pork
vegetarian,high protein,umami,Italian,nuts,high,suburban,easy,40,rainy,breakfast,high,Mixed Veg Bowl
non-vegetarian,low carb,sweet,Chinese,dairy,low,rural,easy,47,hot,breakfast,high,Mixed Veg Bowl
non-vegetarian,low carb,sweet,Thai,dairy,high,rural,moderate,65,hot,lunch,moderate,Mixed Veg Bowl
vegan,high protein,umami,Indian,soy,high,rural,easy,15,humid,dinner,high,Mixed Veg Bowl
vegan,low carb,savory,Italian,none,high,rural,easy,15,hot,lunch,low,Grilled Eggplant Parmesan
vegan,high protein,umami,Italian,soy,medium,rural,heavy,66,rainy,lunch,low,Mushroom Risotto
vegetarian,low carb,salty,Thai,gluten,high,rural,easy,50,cold,dinner,low,Mixed Veg Bowl
non-vegetarian,high protein,sweet,Mexican,gluten,medium,rural,moderate,28,sunny,breakfast,low,Mixed Veg Bowl
vegetarian,balanced,sweet,Italian,gluten,low,suburban,heavy,33,humid,dinner,high,Mixed Veg Bowl
vegan,low carb,umami,Thai,gluten,medium,urban,easy,38,hot,lunch,low,Mixed Veg Bowl
vegetarian,balanced,savory,Thai,gluten,low,rural,heavy,58,hot,dinner,high,Mixed Veg Bowl
vegan,low fat,sweet,Indian,dairy,medium,suburban,heavy,21,sunny,breakfast,moderate,Mixed Veg Bowl
vegan,balanced,umami,Chinese,gluten,medium,rural,heavy,39,humid,lunch,low,Mixed Veg Bowl
vegetarian,low fat,umami,Indian,none,high,rural,moderate,65,rainy,breakfast,moderate,Mixed Veg Bowl
non-vegetarian,balanced,umami,Indian,soy,high,suburban,easy,14,sunny,lunch,moderate,Mixed Veg Bowl
non-vegetarian,high protein,sweet,Chinese,none,low,suburban,heavy,47,hot,breakfast,high,Mixed Veg Bowl
non-vegetarian,low carb,umami,Italian,dairy,medium,suburban,heavy,47,rainy,breakfast,moderate,Mixed Veg Bowl
vegan,low fat,savory,Chinese,none,low,suburban,moderate,14,rainy,dinner,moderate,Mixed Veg Bowl
non-vegetarian,low carb,sweet,Chinese,dairy,medium,rural,easy,12,sunny,breakfast,high,Mixed Veg Bowl
non-vegetarian,low fat,sweet,Indian,none,low,rural,moderate,20,hot,dinner,low,Mixed Veg Bowl
vegetarian,high protein,umami,Italian,nuts,low,rural,easy,28,hot,lunch,low,Mixed Veg Bowl
